,urination_density,shop_count,shop_density,toilet_count,toilet_density,green_space_ratio,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,Male Percent,Female Percent,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,Less Than 9th Grade,"9th to 12th Grade, No Diploma",High School Graduate,"Some College, No Degree",Associate's Degree,Bachelor's Degree,Graduate or Professional Degree,"PercentUnder$10,000","Percetn$10,000to$14,999","Percent$15,000to$24,999","Percetn$25,000to$34,999","Percent$35,000to$49,999","Percetn$50,000to$74,999","Percent$75,000to$99,999","Percetn$100,000to$149,999","Percent$150,000to$199,999","Percetn$200,000ormore",Median Household Income,crime_rate,population_density,subway_count,tree_count,AREA,tree_density
10014,0.0027132277834525024,103,7.278610790109812e-06,5,3.533306208791171e-07,0.036246848896692906,3.9,1.6,1.6,1.9,5.1,29.5,15.6,11.2,8.0,5.3,9.3,4.8,2.3,0.4953389976265006,0.5046610023734993,87.6,1.7,0.0,4.2,0.0,0.6,8.3,0.2,0.7,5.2,7.7,1.7,45.6,38.8,0.4,1.8,0.6,2.2,2.4,9.5,6.5,16.7,6.4,53.5,136154.0,0.0005107252298263534,0.0022138283381801962,16.0,2591.0,14151052.0304172,0.00018309592773955847
10016,0.002032743654543457,282,1.8747004670166233e-05,2,1.3295747993025699e-07,0.021139175565317452,3.5,2.5,2.5,1.7,10.4,34.7,13.2,9.8,3.7,3.2,7.4,4.4,3.0,0.4828772301179317,0.5171227698820683,69.9,3.3,0.2,18.5,0.1,1.1,12.7,2.3,1.9,5.2,7.9,2.5,41.7,38.5,1.3,1.3,3.7,1.8,3.7,4.6,3.6,13.0,12.8,54.2,124647.0,0.0002930080943486064,0.003630138074535807,16.0,1872.0,15042403.037791502,0.00012444820121472054
10017,0.0028898102776730747,94,9.59733734087193e-06,2,2.041986668270623e-07,0.02291608494359412,2.8,1.3,2.1,1.6,7.2,22.3,19.1,12.5,3.4,5.5,14.1,6.3,1.8,0.4504201680672269,0.5495798319327732,73.0,2.7,0.0,20.2,0.0,1.0,4.3,2.8,1.8,3.0,6.6,0.6,40.5,44.7,3.2,0.0,3.1,2.4,1.5,6.9,3.1,10.9,17.7,51.3,130417.0,0.001005151400929765,0.001625217189276589,16.0,848.0,9794383.23999352,8.658023473467441e-05
10018,0.008359076867163365,148,1.3824286711218405e-05,2,1.8681468528673518e-07,0.039516784799256244,3.6,0.9,0.9,2.1,7.4,39.6,18.2,9.4,5.2,2.5,6.2,1.7,2.3,0.5284572833435771,0.4715427166564229,57.7,3.8,0.2,30.6,0.0,3.6,14.6,3.0,4.4,6.6,7.5,2.7,38.8,37.0,3.2,0.0,4.2,4.1,4.9,7.7,3.2,12.3,9.4,51.0,136360.0,0.004542976558240959,0.0005140206065664518,25.0,485.0,10705796.479170099,4.530256118203329e-05
10019,0.0022399084973550015,160,8.497808813824872e-06,3,1.5933391525921633e-07,0.02130719949635322,2.6,1.6,1.1,2.1,5.4,28.4,17.5,12.5,6.1,5.5,10.8,4.7,1.7,0.5355989543287714,0.4644010456712286,66.2,5.4,0.6,18.7,0.1,5.2,17.6,2.0,1.7,9.4,8.4,4.9,37.1,36.6,1.9,1.5,4.6,3.0,7.7,6.2,5.1,13.1,10.4,46.5,101651.0,0.001453557641900586,0.002228869029256091,61.0,1715.0,18828383.1167983,9.108588822318534e-05
10021,0.0014349102629197114,139,1.3244233740510742e-05,0,0.0,0.02969522561310551,5.2,3.6,4.6,3.2,3.2,19.2,13.8,11.9,6.1,4.6,11.1,9.9,3.6,0.4469505123896528,0.5530494876103472,83.3,0.3,0.9,11.2,0.3,2.3,5.1,0.7,1.1,6.0,8.9,2.7,35.8,44.7,0.6,0.8,0.2,1.3,1.2,10.9,5.5,7.8,12.6,59.1,130968.0,0.00017660434005165677,0.0043161909655496135,8.0,1959.0,10495133.4084987,0.0001866579417097881
10022,0.0016900558322015995,174,1.367028692148392e-05,0,0.0,0.017510365534304042,4.5,2.1,2.7,2.1,3.3,20.2,12.7,9.1,6.4,8.9,13.5,10.5,4.3,0.4682016849306391,0.5317983150693608,83.5,1.4,0.1,10.8,0.0,1.5,9.7,1.8,0.6,5.4,6.0,3.2,36.8,46.3,0.3,0.1,4.4,1.2,2.0,7.1,3.8,12.7,8.1,60.5,138661.0,0.0008752074845329713,0.0026032468801343088,29.0,1627.0,12728335.6230472,0.0001278250392026111
10023,0.001464968152866242,145,9.5315019134079e-06,1,6.573449595453725e-08,0.2205024349428028,5.1,3.8,3.1,4.0,3.7,17.2,16.2,11.5,7.7,5.1,13.1,6.6,3.0,0.4396091791476506,0.5603908208523494,77.7,4.5,0.1,11.2,0.0,3.2,8.5,1.0,0.9,5.1,7.9,2.1,35.6,47.4,0.7,0.8,3.1,2.7,2.4,6.2,4.7,10.0,15.1,54.3,137347.0,0.0002707006369426752,0.004128126345944939,17.0,2260.0,15212712.678159302,0.00014855996085725418
10024,0.0018113155961107979,129,5.638768562163084e-06,7,3.059796894197022e-07,0.4337782308894107,6.4,4.4,4.8,2.2,2.5,18.9,15.5,12.1,6.6,6.3,11.5,5.0,3.8,0.4308890865368778,0.5691109134631221,83.2,2.9,0.3,6.8,0.0,4.2,10.8,2.4,1.7,5.4,5.2,2.8,35.8,46.8,3.5,1.3,1.1,1.3,3.6,4.2,5.7,16.8,8.0,54.4,137126.0,0.00030758189367919214,0.0025580339149329136,18.0,3311.0,22877335.463918105,0.00014472839309551916
10025,0.0009786161950569472,170,8.659753477037795e-06,0,0.0,0.05067969568754349,4.4,3.7,3.3,4.6,7.8,19.9,11.1,12.6,5.7,6.6,11.1,5.9,3.5,0.459148021961329,0.540851978038671,64.1,10.6,0.1,10.0,0.0,7.7,23.7,6.0,4.0,9.5,9.4,3.3,29.5,38.3,4.3,3.7,4.5,5.5,4.9,7.0,7.6,13.9,9.0,39.6,99067.0,0.00019780540112853187,0.004892964473431696,19.0,3696.0,19631043.822525896,0.00018827322853606882
10026,0.001311456299361758,39,3.5158315904518996e-06,3,2.7044858388091536e-07,0.15247478417181318,6.2,4.8,5.5,4.5,7.7,20.5,15.5,14.7,5.5,4.3,6.0,3.3,1.5,0.465906464288466,0.5340935357115341,25.6,52.2,0.3,6.2,0.0,9.3,19.5,5.7,8.7,20.8,13.2,4.1,25.0,22.5,6.6,4.9,5.7,7.9,11.1,12.3,10.6,14.5,8.7,17.7,64716.0,0.00032057820651065186,0.0030933007529019498,11.0,1829.0,11092681.4884746,0.00016488348663939808
10027,0.00347891335118266,97,3.927876334059104e-06,3,1.2148071136265272e-07,0.21816882180436367,5.8,5.1,4.1,8.0,11.1,22.3,13.0,10.7,4.8,4.0,6.0,3.8,1.2,0.4708008898776418,0.5291991101223582,30.1,39.3,0.6,8.5,0.0,15.8,25.1,5.6,7.0,20.3,11.8,4.8,24.4,26.1,9.4,6.4,6.0,7.7,13.8,14.4,7.1,13.5,6.9,14.9,57010.0,0.00034106993639045687,0.002374502477864864,20.0,2992.0,24695278.504290197,0.00012115676279901897
10028,0.0009467704607616243,158,1.6053571818207476e-05,0,0.0,0.10753638476272122,4.7,4.6,3.9,2.3,3.9,22.0,14.5,12.5,6.4,5.5,10.1,5.7,4.0,0.4433301363579501,0.5566698636420501,84.3,1.8,0.0,10.4,0.0,1.1,7.4,1.6,0.6,5.3,7.6,3.0,35.1,46.8,0.6,0.0,0.6,1.2,2.5,6.6,5.1,12.4,11.2,59.8,131013.0,0.00025247212286976645,0.00482928018050254,12.0,1806.0,9842046.4797,0.00018349842217520697
10029,0.0005806226855734616,175,7.620810860438318e-06,2,8.709498126215221e-08,0.08563219586264334,5.1,5.3,5.3,5.9,7.4,18.0,13.5,12.9,5.6,5.7,8.6,4.6,2.1,0.44879853116582014,0.5512014688341799,31.1,31.4,0.7,10.9,0.2,21.5,44.9,12.4,12.1,23.6,14.0,5.3,17.7,14.8,16.3,5.2,16.0,10.3,10.7,14.2,7.4,7.6,5.0,7.3,33801.0,0.0001290272634607693,0.003375061166380291,10.0,2423.0,22963435.6769661,0.00010551556979909741
10030,0.0006736526946107785,17,2.191382041967793e-06,1,1.2890482599810546e-07,0.02704108722823193,6.8,4.8,4.9,3.6,6.7,20.3,15.4,13.8,5.8,5.6,6.6,3.1,2.6,0.4379274745128404,0.5620725254871596,17.5,59.8,0.1,3.7,0.0,11.6,27.6,9.9,10.8,20.9,18.7,4.7,18.1,16.9,7.7,6.9,12.5,6.8,13.6,15.8,8.3,14.0,5.2,9.3,45555.0,0.00029940119760479036,0.003444336950669378,8.0,1365.0,7757661.454930299,0.00017595508748741395
