,ZIPCODE,shop_count,shop_density
188,11237,194,7.0736138155480025e-06
189,11238,308,1.046571640804128e-05
190,11239,23,5.503095270497318e-07
191,11249,108,6.07690451968629e-06
192,11251,3,2.9279855357103485e-07
193,11354,114,1.8391502591887503e-06
194,11355,73,1.4782391327990953e-06
195,11356,30,6.925022438023397e-07
196,11357,12,1.55120707897352e-07
197,11358,28,5.126088871634626e-07
198,11359,0,0.0
199,11360,3,7.72502531944997e-08
200,11361,31,6.179789832446376e-07
201,11362,3,5.4864114078960257e-08
202,11363,2,8.249875522006689e-08
203,11364,8,9.494459769062368e-08
204,11365,24,3.458917719665916e-07
205,11366,18,8.841475548340501e-07
206,11367,34,4.6696785074887e-07
207,11368,121,1.669203504576554e-06
208,11369,46,1.5302476783393556e-06
209,11370,47,1.1246592220580204e-06
210,11371,35,1.1453451163893686e-06
211,11372,125,6.199387003582239e-06
212,11373,128,3.0008303623103554e-06
213,11374,62,2.4599700792524126e-06
214,11375,164,2.9502891479139097e-06
215,11377,179,2.491912161679923e-06
216,11378,130,1.961952052692015e-06
217,11379,84,1.4577558735777256e-06
218,11385,424,3.3978085970750772e-06
219,11411,2,5.5726454065071484e-08
220,11412,10,2.1813699035095268e-07
221,11413,73,8.467842636718519e-07
222,11414,17,2.659207341088554e-07
223,11415,33,1.9640192261725828e-06
224,11416,8,4.2429401900868285e-07
225,11417,21,6.752609787912382e-07
226,11418,18,5.620585921536392e-07
227,11419,21,6.713800079008335e-07
228,11420,28,4.5249184401742115e-07
229,11421,45,1.8507519291188075e-06
230,11422,38,6.320622855150517e-07
231,11423,62,1.3748742846272271e-06
232,11426,20,4.031513247366798e-07
233,11427,27,6.846576539081763e-07
234,11428,18,8.208853109572657e-07
235,11429,37,9.35302396004105e-07
236,11430,95,4.7520513586732305e-07
237,11432,271,4.503338612873302e-06
238,11433,138,2.890692086064378e-06
239,11434,92,1.0528760755908782e-06
240,11435,109,2.588710897607261e-06
241,11436,13,5.727049997319749e-07
242,11451,0,0.0
243,11691,7,8.34050069173093e-08
244,11692,5,2.0839936657261062e-07
245,11693,17,2.665924028229655e-07
246,11694,55,1.143412951688278e-06
247,11697,7,1.1707690292487334e-07
