,ZIPCODE,toilet_count,toilet_density
187,11236,2,2.075248691455859e-08
188,11237,0,0.0
189,11238,7,2.3785719109184732e-07
190,11239,1,2.39265011760753e-08
191,11249,2,1.1253526888307944e-07
192,11251,0,0.0
193,11354,3,4.83986910312829e-08
194,11355,9,1.8224866020810765e-07
195,11356,3,6.925022438023397e-08
196,11357,3,3.8780176974338e-08
197,11358,1,1.8307460255837948e-08
198,11359,0,0.0
199,11360,3,7.72502531944997e-08
200,11361,8,1.5947844728893871e-07
201,11362,0,0.0
202,11363,0,0.0
203,11364,5,5.93403735566398e-08
204,11365,5,7.206078582637324e-08
205,11366,0,0.0
206,11367,7,9.614043986006148e-08
207,11368,11,1.517457731433231e-07
208,11369,2,6.653250775388503e-08
209,11370,2,4.7857839236511507e-08
210,11371,21,6.872070698336211e-07
211,11372,2,9.919019205731583e-08
212,11373,6,1.4066392323329792e-07
213,11374,3,1.1903081028640705e-07
214,11375,5,8.994783987542408e-08
215,11377,4,5.568518797050107e-08
216,11378,1,1.5091938866861655e-08
217,11379,1,1.735423659021102e-08
218,11385,9,7.212329569263135e-08
219,11411,2,5.5726454065071484e-08
220,11412,0,0.0
221,11413,0,0.0
222,11414,0,0.0
223,11415,1,5.9515734126441905e-08
224,11416,0,0.0
225,11417,0,0.0
226,11418,0,0.0
227,11419,0,0.0
228,11420,0,0.0
229,11421,1,4.112782064708461e-08
230,11422,1,1.663321803986978e-08
231,11423,4,8.870156675014368e-08
232,11426,1,2.015756623683399e-08
233,11427,1,2.5357690885488013e-08
234,11428,0,0.0
235,11429,0,0.0
236,11430,31,1.550669390724949e-07
237,11432,3,4.9852456969077135e-08
238,11433,4,8.378817640766313e-08
239,11434,2,2.2888610338932136e-08
240,11435,1,2.374964126245194e-08
241,11436,0,0.0
242,11451,0,0.0
243,11691,1,1.1915000988187045e-08
244,11692,2,8.335974662904425e-08
245,11693,3,4.704571814522921e-08
246,11694,4,8.315730557732931e-08
247,11697,2,3.3450543692820954e-08
