ZIPCODE,AREA,shape_area,ratio
11096,812210.0197256149,916490.391723,1.0
10464,70127323.02302264,89619436.00581563,1.0
83,38300990.39994299,37591643.14995054,0.9814796629908166
10281,955857.82189407,913098.474914,0.9552659966778944
10069,2372365.88905417,2215503.6127168,0.9338793914289888
10035,19745922.41760162,16951566.469983596,0.8584844056144413
10280,2234114.00737477,1855127.6951678202,0.8303639335522167
11359,6567982.0853419695,5429978.0563836,0.8267346021698052
10282,1562844.98744848,1089359.15023572,0.6970359562110002
10308,62751041.81514953,41665745.40372434,0.6639849187916635
10471,89651407.05834973,54992140.542977974,0.6133996369648306
10033,16156054.171925599,9493194.660820894,0.5875936388797973
11692,23992395.38119182,13960313.8925893,0.5818641144740848
10312,169087432.9071139,88619122.79450975,0.5241023609554211
10462,53022513.77647105,27734683.61227007,0.5230737216494901
10040,16340742.795196706,7714283.544702926,0.47208891550330917
10460,35155666.646014884,16241607.45841458,0.4619911669419493
10032,23159566.092342865,10108626.725942668,0.43647737982814944
10024,22877335.463918157,9923690.105001993,0.4337782308894107
10034,24503892.122011494,10317797.247685267,0.42106768983107534
11360,38834824.17134141,16291401.707527403,0.4195049689332654
10306,174102872.04866016,66893817.73044903,0.38422007025681243
10039,8419027.884606682,3214245.4463335155,0.3817834422677741
11228,43893024.73172237,16735834.948539535,0.38128689127327814
10470,21543461.581388,7634442.11257284,0.3543739748475913
11215,61922821.74616384,21642661.729448497,0.349510263246188
10301,105182712.64956798,36001062.564424954,0.3422716685808238
10458,35968812.90336306,12082861.24531421,0.3359260500972628
11451,487599.72679456,161603.958754,0.33142750061894205
11362,54680551.21937094,17960480.38514431,0.3284619482544955
11422,60120657.205539085,19211665.68243718,0.31955182420506134
11364,84259665.05295996,26846317.38319203,0.318614100427746
11368,72489663.28446276,22783852.766227722,0.3143048502904434
10314,473985727.130052,140858141.58290383,0.29717802355735334
10004,3779381.8195165633,1047950.4789756,0.27728092291814216
10465,108423743.43824072,29897407.955971245,0.2757459483309679
11224,46701983.75363921,12216086.703396004,0.261575327674257
11693,20490920.12268377,5199573.306340696,0.2537501134751234
10309,215835793.51709378,53766218.73358505,0.2491070542909134
11365,69385865.5947386,16890717.393046606,0.24343167370282684
10457,37640607.379319906,8788001.127925685,0.23347128911511383
11385,124786310.90785709,28152269.596595123,0.22560382939265602
10023,15212712.678159319,3354440.1876193765,0.2205024349428028
10027,24695278.50429014,5387739.815411609,0.21816882180436367
11234,206201040.0879738,44937233.618368335,0.21792922867506523
11363,24242790.023497496,5093890.443795524,0.21011981042026245
11691,83927815.11234732,17350021.216484725,0.20672551993948213
11235,69053803.03171347,13708676.943588447,0.19852167935331
10473,59522354.54027652,11499361.684402535,0.19319399867862003
11413,86208498.5890681,16213800.79039161,0.18807659402210775
10031,16902152.365909897,3051265.635702268,0.180525270962318
10002,26280128.54388849,4690839.192391551,0.1784937689538972
11427,39435767.41730422,6834357.428034382,0.1733035230610347
11361,50163518.243351124,8688384.397036025,0.17320125663609368
11208,79303684.26399095,13102341.605951162,0.1652173127585761
11201,41094886.765736565,6732977.679391594,0.16383979149944533
10467,69336166.37263402,11031666.759284433,0.15910407708434354
10305,111441829.31770755,17675288.483483505,0.15860551277468118
10463,36138949.918336235,5654207.455603457,0.15645743632231596
10026,11092681.488474606,1691354.2158418328,0.15247478417181318
11236,96373991.62010449,14142409.108386949,0.14674507998106737
11214,61096539.38914656,8924161.69229373,0.14606656582384198
11367,72810151.58854039,10583634.528119983,0.1453593255502265
10307,46028382.62976019,6677408.261319057,0.1450715380340499
11423,45095032.10092413,6266159.339491132,0.13895453772972743
11239,41794660.76719669,5784817.733824219,0.13841044831172644
10451,28944106.51687846,3995128.1612359607,0.13802907195999442
10037,7188980.95342821,975125.3337646291,0.13564166327351598
11426,49609163.539430596,6728773.282417139,0.1356356931329621
11238,29429423.46147942,3958424.1609179154,0.13450566458086247
11207,73966260.54106127,9849085.37880339,0.13315645953651822
10304,98226679.797328,12966979.790712142,0.1320107715894198
10310,53463275.00249208,7039741.0329649225,0.13167433219601268
11220,47453785.79063744,6200279.396861669,0.13065932029568386
11209,57842313.961227305,7375214.333226588,0.1275055202350708
11355,49383079.08394498,6045151.957188883,0.12241342721689935
11434,87379704.1578413,10034248.31514418,0.11483499986471085
10007,5327870.97676123,591926.952095694,0.11110009132682144
11694,48101606.61447045,5270830.043290116,0.10957700613901089
10452,27550385.853312645,2976915.5392294736,0.10805349714808189
10028,9842046.4797,1058378.097093605,0.10753638476272122
10455,19846918.84145581,1989628.2708132237,0.1002487230741999
11414,63928824.719027035,6198598.818894435,0.09696093813921712
10475,38633296.9345436,3698204.5494963955,0.09572583348923763
10468,34447604.672218315,3217492.988630472,0.09340251722133097
10013,15580578.833580388,1417790.494893317,0.09099729285009571
11213,29631004.43793904,2606406.0377830947,0.08796212235201505
11231,38945110.7557631,3387798.9393004277,0.08698906932236933
10029,22963435.676966146,1966409.4215691767,0.08563219586264334
10454,31063613.32530799,2505208.4264874943,0.08064768255554042
10459,22551940.537244387,1695566.3648599386,0.07518494304557612
10461,62824057.57452775,4542814.838496865,0.07231011516739037
10128,11011681.5568226,794566.4171903771,0.07215668316326138
10472,30963245.188328277,2123133.9116386455,0.06856948936473137
10303,81629773.51743694,5582612.476607821,0.06838941523481404
11375,55587771.83448656,3781450.1505250945,0.06802665452726582
10456,29933452.43634847,2035600.5720551724,0.06800420286913926
10009,15903519.30122839,1041758.980774637,0.06550493391070814
11249,17772206.170120206,1150419.264100739,0.06473137060692549
