,zip code tabulation area,Male Percent,Female Percent
1,10312.0,0.48167359361193834,0.5183264063880616
2,10452.0,0.46385404482448,0.53614595517552
3,10462.0,0.48225765830251455,0.5177423416974855
4,10473.0,0.464135374914049,0.535864625085951
5,10018.0,0.5284572833435771,0.4715427166564229
6,10027.0,0.47080088987764185,0.5291991101223582
7,10036.0,0.5380609967765931,0.4619390032234069
10,10304.0,0.4861984667600218,0.5138015332399781
11,10308.0,0.48233625134078406,0.5176637486592159
12,10459.0,0.4885205926721911,0.5114794073278089
13,10466.0,0.4346945074410553,0.5653054925589447
14,10474.0,0.5117022195353658,0.48829778046463423
15,11217.0,0.4684298532771249,0.5315701467228751
16,11206.0,0.47892099224876994,0.5210790077512301
17,11363.0,0.46078431372549017,0.5392156862745098
18,10005.0,0.4768005540166205,0.5231994459833795
19,10010.0,0.49518165866006963,0.5048183413399304
20,10016.0,0.48287723011793166,0.5171227698820683
21,10017.0,0.4504201680672269,0.5495798319327732
22,10026.0,0.465906464288466,0.5340935357115341
23,10033.0,0.5160619287955258,0.48393807120447413
24,10069.0,0.49600246002460024,0.5039975399753998
27,10128.0,0.43225906574931455,0.5677409342506854
30,10310.0,0.47765640516385305,0.522343594836147
31,10007.0,0.548770816812054,0.4512291831879461
32,10019.0,0.5355989543287714,0.46440104567122864
34,10021.0,0.44695051238965283,0.5530494876103472
35,10038.0,0.4611443916546168,0.5388556083453832
36,10039.0,0.45337763012181614,0.5466223698781838
37,10472.0,0.4775037138360617,0.5224962861639383
38,11001.0,0.4958556250470952,0.5041443749529049
39,11204.0,0.49820675105485235,0.5017932489451477
40,11218.0,0.5073826419213974,0.49261735807860263
41,11223.0,0.4863354037267081,0.513664596273292
42,11224.0,0.4576304648254985,0.5423695351745015
43,11373.0,0.4887403492408933,0.5112596507591067
44,11231.0,0.45531273150597945,0.5446872684940205
45,11417.0,0.45981512389266915,0.5401848761073309
46,11109.0,0.5069365105271748,0.4930634894728252
49,11424.0,1.0,0.0
51,11375.0,0.4719961440473731,0.5280038559526269
52,11420.0,0.5073625862141921,0.492637413785808
53,11435.0,0.5110957704741379,0.48890422952586204
54,11691.0,0.46754024600461624,0.5324597539953838
55,11102.0,0.4849254205014281,0.5150745794985718
56,11207.0,0.4559080854435604,0.5440919145564397
57,11213.0,0.4671128788103648,0.5328871211896352
58,11216.0,0.45738412208101803,0.542615877918982
59,11225.0,0.4533813668140962,0.5466186331859039
60,11232.0,0.5433379872457643,0.4566620127542357
61,11238.0,0.45524663351602485,0.5447533664839752
62,11358.0,0.4865130233192418,0.5134869766807583
63,11365.0,0.4676652183855477,0.5323347816144524
64,11003.0,0.4968017534442655,0.5031982465557345
65,11103.0,0.494706231118891,0.505293768881109
66,11209.0,0.48061958811139716,0.5193804118886028
67,11214.0,0.49021820917983444,0.5097817908201655
68,11220.0,0.49342025436535514,0.5065797456346449
69,11230.0,0.4923383951919989,0.5076616048080012
70,11355.0,0.48139088964822146,0.5186091103517786
71,11377.0,0.5064068957949793,0.49359310420502067
72,11693.0,0.44892163634968146,0.5510783636503185
73,11368.0,0.5231683860814828,0.47683161391851725
74,11385.0,0.4967579147821947,0.5032420852178053
75,11412.0,0.45444494169057836,0.5455550583094216
76,11414.0,0.4824371205550737,0.5175628794449263
77,11430.0,1.0,0.0
78,11694.0,0.49887101326559413,0.5011289867344059
79,11697.0,0.48681599092713357,0.5131840090728664
80,11378.0,0.49481208208439015,0.5051879179156099
81,11411.0,0.4668587896253602,0.5331412103746398
82,11416.0,0.5184191359681067,0.48158086403189326
83,11423.0,0.4797169172423134,0.5202830827576865
84,11040.0,0.4796859571803579,0.5203140428196421
85,11105.0,0.5060343906867457,0.4939656093132543
86,11106.0,0.4851188871515609,0.5148811128484391
87,11229.0,0.4790682342599714,0.5209317657400285
88,11234.0,0.46424777585977955,0.5357522241402204
89,11357.0,0.48160426741113715,0.5183957325888628
90,11367.0,0.47377992576169004,0.52622007423831
91,11369.0,0.504773075294041,0.495226924705959
92,11415.0,0.493013431542461,0.506986568457539
93,11418.0,0.5107789518398556,0.48922104816014444
94,11421.0,0.49858778433449336,0.5014122156655066
95,11432.0,0.47417628574095394,0.5258237142590461
96,11004.0,0.47113813165980256,0.5288618683401974
97,11005.0,0.37305469097376615,0.6269453090262339
98,11211.0,0.5074358508430485,0.49256414915695146
99,11372.0,0.5022897618330772,0.49771023816692284
100,11222.0,0.4859983655679651,0.5140016344320348
101,11233.0,0.45730362424181664,0.5426963757581834
102,11235.0,0.47862092276491464,0.5213790772350854
103,11426.0,0.4926317871624963,0.5073682128375037
104,11427.0,0.4925087663372649,0.5074912336627351
105,11101.0,0.5083136121953469,0.4916863878046532
106,11205.0,0.45871808799565456,0.5412819120043455
107,11215.0,0.4861204371740839,0.5138795628259162
108,11219.0,0.49883842754976543,0.5011615724502346
109,11226.0,0.45677448822821076,0.5432255117717892
110,11228.0,0.48874151055198506,0.511258489448015
111,11236.0,0.4389552827840236,0.5610447172159764
112,11366.0,0.49082146147848893,0.5091785385215111
113,11370.0,0.5880269699652659,0.41197303003473407
115,11374.0,0.46304403214972323,0.5369559678502768
116,11379.0,0.4770778189518264,0.5229221810481737
117,11419.0,0.5117923052862058,0.48820769471379416
118,11422.0,0.4698651863600317,0.5301348136399683
119,11428.0,0.4964195663136662,0.5035804336863339
120,11433.0,0.4555769178694251,0.5444230821305749
121,10002.0,0.49293331361026316,0.5070666863897368
122,10029.0,0.44879853116582014,0.5512014688341799
123,10031.0,0.4954379562043796,0.5045620437956204
