,PercentWhite,PercetnBlack,PercentAmericanIndianandAlaskaNative,PercentAsian,PercentNativeHawaiianandOtherPacificIslander,PercentSomeOtherRace,PercentHispanicOrLatino,zip code tabulation area
99,49.6,2.7,0.4,21.4,0.3,17.1,54.3,11372.0
100,79.9,3.4,0.2,5.3,0.0,4.5,15.2,11222.0
101,13.1,73.8,0.1,2.3,0.0,7.6,15.6,11233.0
102,73.4,2.2,0.1,13.1,0.0,5.6,8.6,11235.0
103,34.3,6.0,0.4,43.0,0.0,10.5,19.7,11426.0
104,23.7,21.7,1.4,33.2,0.0,13.8,20.7,11427.0
105,41.0,13.7,0.6,26.5,0.0,10.0,21.8,11101.0
106,52.6,28.6,0.5,6.2,0.0,6.9,16.4,11205.0
107,74.2,4.1,0.2,9.1,0.0,5.0,15.8,11215.0
108,65.7,1.5,0.4,24.3,0.1,6.8,12.4,11219.0
109,15.7,66.6,0.7,2.9,0.0,10.2,15.9,11226.0
110,53.6,1.4,0.1,37.0,0.1,4.9,12.1,11228.0
111,5.4,85.8,0.1,2.7,0.0,4.0,7.6,11236.0
112,37.5,5.8,0.0,47.4,0.0,6.8,11.2,11366.0
113,42.7,14.9,1.3,23.4,0.0,13.8,36.4,11370.0
115,49.2,4.4,0.1,32.6,0.0,5.6,18.3,11374.0
116,75.0,1.0,0.3,11.5,0.0,8.2,21.1,11379.0
117,8.5,13.6,0.6,38.4,0.1,29.8,18.5,11419.0
118,7.4,83.9,0.3,2.5,0.0,2.9,8.8,11422.0
119,17.6,19.6,0.4,29.4,0.2,23.6,24.1,11428.0
120,5.0,61.8,0.3,12.9,0.0,15.9,14.4,11433.0
121,31.7,8.9,1.0,41.9,0.0,10.7,25.8,10002.0
122,31.1,31.4,0.7,10.9,0.2,21.5,44.9,10029.0
123,29.8,28.7,0.6,3.9,0.1,20.9,49.7,10031.0
124,35.2,13.9,0.2,3.0,0.2,37.6,69.7,10034.0
125,33.1,9.0,0.9,2.9,0.0,44.7,69.5,10040.0
129,18.8,3.1,0.2,65.0,0.1,8.5,14.3,11354.0
130,30.1,1.9,0.2,29.5,0.2,33.8,43.3,11356.0
131,60.5,1.2,0.6,32.4,0.0,3.3,10.9,11360.0
132,45.1,2.6,0.0,46.0,0.0,2.8,10.2,11362.0
133,35.5,12.4,1.3,5.7,0.1,37.6,60.0,11237.0
134,4.4,86.5,0.2,2.0,0.0,2.8,6.8,11203.0
135,23.3,52.8,0.2,6.7,0.1,13.4,39.9,11208.0
136,31.8,56.5,0.0,3.8,0.0,4.6,7.6,11210.0
137,8.6,77.4,0.1,0.9,0.1,6.7,18.0,11212.0
138,25.5,44.1,0.5,4.1,0.1,18.9,33.8,11221.0
139,25.3,59.5,2.9,3.6,0.0,4.7,18.6,11239.0
140,45.6,4.8,0.3,42.1,0.0,3.1,12.1,11361.0
141,38.1,3.8,0.7,48.4,0.0,4.8,15.9,11364.0
142,2.2,90.2,0.3,1.2,0.2,3.7,6.2,11413.0
143,4.2,71.5,0.8,3.8,0.1,13.8,14.3,11429.0
144,4.2,83.2,0.2,3.3,0.0,5.5,9.4,11434.0
145,4.9,61.0,0.2,8.9,0.0,17.7,14.2,11436.0
146,20.8,56.2,0.6,5.6,0.0,9.5,25.1,11692.0
147,68.2,4.8,0.0,20.4,0.4,0.4,5.8,10004.0
148,64.1,10.6,0.1,10.0,0.0,7.7,23.7,10025.0
149,17.5,59.8,0.1,3.7,0.0,11.6,27.6,10030.0
150,12.2,67.6,0.4,4.0,0.0,10.7,23.1,10037.0
154,76.1,0.6,1.4,18.2,0.0,0.1,11.5,10280.0
155,51.5,25.5,0.9,6.7,0.1,10.9,37.8,10302.0
156,42.2,32.8,0.2,7.6,0.0,9.2,40.0,10303.0
157,19.2,45.6,0.4,0.7,0.0,23.9,66.4,10457.0
158,70.1,0.5,0.0,1.8,0.0,23.2,36.8,10464.0
159,93.7,0.6,0.4,2.4,0.0,1.8,8.8,10309.0
160,24.2,34.2,0.5,5.5,0.1,29.0,52.2,10467.0
161,12.3,47.2,1.1,0.7,0.2,31.6,58.4,10456.0
162,20.9,39.1,0.4,3.7,0.0,30.4,45.4,10035.0
163,81.0,2.1,0.0,14.5,0.0,0.5,7.9,10065.0
164,83.1,2.0,1.5,6.3,0.2,3.6,16.4,10075.0
170,15.2,24.5,1.1,2.0,0.2,50.6,77.8,10468.0
172,68.6,6.7,0.1,17.2,0.0,3.6,14.3,10305.0
173,16.3,40.8,0.6,1.3,0.8,31.4,58.3,10451.0
174,45.9,17.2,0.7,3.4,0.1,25.1,52.2,10463.0
175,11.4,32.6,0.7,2.2,0.3,44.4,68.9,10453.0
176,16.6,34.8,0.7,0.3,0.1,41.2,66.0,10454.0
177,15.5,31.6,0.9,0.9,0.2,41.2,73.2,10455.0
178,15.2,18.9,0.3,2.6,0.0,58.5,71.8,10458.0
179,16.8,57.0,0.1,6.5,0.0,14.5,28.1,10469.0
180,73.1,5.0,0.2,15.1,0.1,2.4,8.7,10003.0
181,59.3,7.9,0.1,15.0,0.0,10.5,23.1,10009.0
182,77.7,4.6,0.1,8.9,0.0,3.4,13.7,10011.0
183,83.5,1.4,0.1,10.8,0.0,1.5,9.7,10022.0
184,84.3,1.8,0.0,10.4,0.0,1.1,7.4,10028.0
186,46.6,12.4,0.0,32.4,0.0,4.9,9.4,10044.0
187,93.7,0.0,0.0,3.6,0.0,0.0,23.8,10162.0
188,100.0,0.0,0.0,0.0,0.0,0.0,0.0,10279.0
189,91.9,0.1,0.0,4.6,0.0,1.0,8.9,10307.0
190,17.5,34.4,0.5,1.8,0.2,37.3,67.2,10460.0
191,55.8,13.2,0.0,4.3,0.0,18.6,46.9,10465.0
192,42.0,38.3,0.1,4.9,0.0,9.7,19.5,10470.0
193,66.1,9.8,0.2,5.6,0.0,10.4,25.1,10471.0
194,70.3,4.8,0.0,17.2,0.0,2.0,8.8,10006.0
195,74.5,2.7,0.0,17.3,0.0,1.3,8.3,10012.0
196,61.9,3.3,0.1,28.3,0.0,2.0,6.6,10013.0
197,87.6,1.7,0.0,4.2,0.0,0.6,8.3,10014.0
198,77.7,4.5,0.1,11.2,0.0,3.2,8.5,10023.0
199,83.2,2.9,0.3,6.8,0.0,4.2,10.8,10024.0
200,27.3,18.1,0.6,4.3,0.1,37.9,65.6,10032.0
204,79.3,3.5,0.2,8.6,0.0,2.6,17.4,10306.0
205,47.8,9.2,0.5,12.9,0.1,23.3,47.4,10461.0
