,PrecentAgeUnder5,PrecentAge5to9,PrecentAge10to14,PrecentAge15to19,PrecentAge20to24,PrecentAge25to34,PrecentAge35to44,PrecentAge45to54,PrecentAge55to59,PrecentAge60to64,PrecentAge65to74,PrecentAge75to84,PrecentAge85andOlder,zip code tabulation area
63,6.7,4.1,6.2,5.1,4.3,15.0,12.7,13.2,8.2,7.0,8.6,6.5,2.4,11365.0
64,5.1,4.2,6.5,5.7,7.4,14.6,12.2,14.9,7.2,6.1,9.7,3.9,2.5,11003.0
65,4.9,3.0,2.9,3.5,5.6,31.6,17.0,11.7,5.5,3.9,6.5,3.1,0.8,11103.0
66,6.0,5.1,4.8,5.3,4.9,16.0,14.6,12.5,6.6,6.6,10.1,5.0,2.6,11209.0
67,6.8,5.8,5.6,4.9,5.9,13.8,13.7,14.0,6.7,6.0,8.6,5.2,3.2,11214.0
68,7.4,7.0,6.4,5.0,5.4,17.8,15.2,12.5,5.6,5.2,7.9,3.6,1.2,11220.0
69,10.0,6.7,6.9,6.1,5.8,15.5,10.8,10.5,5.4,5.8,9.6,4.1,2.7,11230.0
70,6.0,4.3,4.5,3.7,4.8,14.6,12.9,15.4,7.8,6.4,11.0,5.9,2.6,11355.0
71,5.1,4.6,4.5,3.7,4.6,17.0,18.1,14.0,6.0,5.8,8.8,5.7,2.0,11377.0
72,7.3,7.0,5.6,4.8,5.0,13.1,11.2,13.3,7.3,9.3,8.7,5.5,1.9,11693.0
73,8.1,7.0,7.2,6.0,6.1,17.6,16.3,13.1,5.0,4.1,5.1,2.8,1.4,11368.0
74,5.9,5.2,6.2,5.4,7.3,18.7,14.2,14.5,6.4,5.3,6.3,3.1,1.6,11385.0
75,5.3,4.8,5.7,5.9,7.5,14.0,11.1,15.1,8.8,7.4,8.1,4.4,2.0,11412.0
76,4.4,4.6,6.4,4.6,4.1,11.0,12.5,13.0,8.1,7.0,11.6,7.8,5.0,11414.0
77,2.7,0.0,0.0,0.0,3.2,17.3,12.7,30.9,10.9,13.2,9.1,0.0,0.0,11430.0
78,5.5,4.6,7.6,4.6,4.8,10.2,11.7,15.8,10.1,6.7,10.6,5.3,2.4,11694.0
79,6.6,2.8,6.5,4.8,7.3,11.8,6.3,11.0,12.8,7.6,14.3,6.2,1.9,11697.0
80,7.0,5.1,6.7,6.2,5.7,13.6,14.4,14.2,7.6,6.9,7.1,3.4,1.9,11378.0
81,4.6,3.3,6.6,4.4,6.4,13.2,11.4,14.5,9.0,6.8,10.3,6.8,2.7,11411.0
82,6.6,6.1,5.6,6.3,6.8,15.0,13.7,13.9,7.0,5.9,8.5,3.3,1.2,11416.0
83,5.5,5.1,5.6,5.1,6.2,13.3,13.5,13.1,7.8,7.3,10.2,4.6,2.7,11423.0
84,5.2,5.0,5.7,6.6,6.4,9.9,12.5,14.6,7.6,7.0,11.0,5.6,3.0,11040.0
85,5.7,4.2,3.8,2.9,5.3,27.2,15.4,11.5,6.4,4.6,6.6,4.6,1.7,11105.0
86,4.4,4.6,4.0,2.8,6.0,27.7,15.2,11.2,5.5,4.6,7.3,4.5,2.2,11106.0
